DOI;Title;Abstract;Year;Month;Journal;Authors;Cite;Pub_Date
10.1002/jmv.29240;The imperative for quality control programs in Monkeypox virus DNA testing by PCR: CIBERINFEC quality control.;To evaluate molecular assays for Mpox diagnosis available in various clinical microbiology services in Spain through a quality control (QC) approach. A total of 14 centers from across Spain participated in the study. The Reference Laboratory dispatched eight serum samples and eight nucleic acid extracts to each participating center. Some samples were spiked with Mpox or Vaccinia virus to mimic positive samples for Mpox or other orthopox viruses. Participating centers provided information on the results obtained, as well as the laboratory methods used. Among the 14 participating centers seven different commercial assays were employed, with the most commonly used kit being LightMix Modular Orthopox/Monkeypox (Mpox) Virus (Roche®). Of the 12 centers conducting Mpox determinations, concordance ranged from 62.5% (n = 1) to 100% (n = 11) for eluates and from 75.0% (n = 1) to 100% (n = 10) for serum. Among the 10 centers performing Orthopoxvirus determinations, a 100% concordance was observed for eluates, while for serum, concordance ranged from 87.5% (n = 6) to 100% (n = 4). Repeatedly, 6 different centers reported a false negative in serum samples for Orthopoxvirus diagnosis, particularly in a sample with borderline Ct  = 39. Conversely, one center, using the TaqMan™ Mpox Virus Microbe Detection Assay (Thermo Fisher), reported false positives in Mpox diagnosis for samples spiked with vaccinia virus due to cross-reactions. We observed a positive correlation of various diagnostic assays for Mpox used by the participating centers with the reference values. Our results highlight the significance of standardization, validation, and ongoing QC in the microbiological diagnosis of infectious diseases, which might be particularly relevant for emerging viruses.;2023;Nov;Journal of medical virology;"de Salazar A; Martínez MJ; Navero-Castillejos J; Negredo A; Galán JC; Rojo Molinero E; Lagarejos E; Muñoz-Almagro C; Hernández Rodríguez Á; Lepe JA; Antón Pagarolas A; Pérez Castro S; Zamora Cintas MI; Domínguez-Gil González M; Niubó-Bosch J; Gutiérrez Arroyo A; Vazquez A; García F; Sánchez-Seco Fariñas MP";"de Salazar A; Martínez MJ; Navero-Castillejos J; Negredo A; Galán JC; Rojo Molinero E; Lagarejos E; Muñoz-Almagro C; Hernández Rodríguez Á; Lepe JA; Antón Pagarolas A; Pérez Castro S; Zamora Cintas MI; Domínguez-Gil González M; Niubó-Bosch J; Gutiérrez Arroyo A; Vazquez A; García F; Sánchez-Seco Fariñas MP. The imperative for quality control programs in Monkeypox virus DNA testing by PCR: CIBERINFEC quality control.. Journal of medical virology. 2023;Nov.";2023-Nov
10.1007/s10096-023-04697-4;Deciphering mechanisms affecting cefepime-taniborbactam in vitro activity in carbapenemase-producing Enterobacterales and carbapenem-resistant Pseudomonas spp. isolates recovered during a surveillance study in Spain.;"To characterize the resistance mechanisms affecting the cefepime-taniborbactam combination in a collection of carbapenemase-producing Enterobacterales (CPE) and carbapenem-resistant Pseudomonas spp. (predominantly P. aeruginosa; CRPA) clinical isolates. CPE (n = 247) and CRPA (n = 170) isolates were prospectively collected from patients admitted to 8 Spanish hospitals. Susceptibility to cefepime-taniborbactam and comparators was determined by broth microdilution. Cefepime-taniborbactam was the most active agent, inhibiting 97.6% of CPE and 67.1% of CRPA (MICs ≤ 8/4 mg/L). All isolates with cefepime-taniborbactam MIC > 8/4 mg/L (5 CPE and 52 CRPA) and a subset with MIC ≤ 8/4 mg/L (23 CPE and 24 CRPA) were characterized by whole genome sequencing. A reduced cefepime-taniborbactam activity was found in two KPC-ST307-Klebsiella pneumoniae isolates with altered porins [KPC-62-K. pneumoniae (OmpA, OmpR/EnvZ), KPC-150-K. pneumoniae (OmpK35, OmpK36)] and one each ST133-VIM-1-Enterobacter hormaechei with altered OmpD, OmpR, and OmpC; IMP-8-ST24-Enterobacter asburiae; and NDM-5-Escherichia coli with an YRIN-inserted PBP3 and a mutated PBP2. Among the P. aeruginosa (68/76), elevated cefepime-taniborbactam MICs were mostly associated with GES-5-ST235, OXA-2+VIM-2-ST235, and OXA-2+VIM-20-ST175 isolates also carrying mutations in PBP3, efflux pump (mexR, mexZ) and AmpC (mpl) regulators, and non-carbapenemase-ST175 isolates with AmpD-T139M and PBP3-R504C mutations. Overall, accumulation of these mutations was frequently detected among non-carbapenemase producers. The reduced cefepime-taniborbactam activity among the minority of isolates with elevated cefepime-taniborbactam MICs is not only due to IMP carbapenemases but also to the accumulation of multiple resistance mechanisms, including PBP and porin mutations in CPE and chromosomal mutations leading to efflux pumps up-regulation, AmpC overexpression, and PBP modifications in P. aeruginosa.";2024;Feb;European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology;"Hernández-García M; García-Castillo M; Nieto-Torres M; Bou G; Ocampo-Sosa A; Pitart C; Gracia-Ahufinger I; Mulet X; Pascual Á; Tormo N; Oliver A; Ruiz-Garbajosa P; Cantón R";"Hernández-García M; García-Castillo M; Nieto-Torres M; Bou G; Ocampo-Sosa A; Pitart C; Gracia-Ahufinger I; Mulet X; Pascual Á; Tormo N; Oliver A; Ruiz-Garbajosa P; Cantón R. Deciphering mechanisms affecting cefepime-taniborbactam in vitro activity in carbapenemase-producing Enterobacterales and carbapenem-resistant Pseudomonas spp. isolates recovered during a surveillance study in Spain.. European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology. 2024;Feb.";2024-Feb
10.1007/s15010-022-01973-x;Outcomes of octogenarians and nonagenarians with Pseudomonas aeruginosa bacteremia: a multicenter retrospective study.;"P. aeruginosa bacteremia is a common and severe infection carrying high mortality in older adults. We aimed to evaluate outcomes of P. aeruginosa bacteremia among old adults (≥ 80 years). We included the 464/2394 (19%) older adults from a retrospective multinational (9 countries, 25 centers) cohort study of individuals hospitalized with P. aeruginosa bacteremia. Bivariate and multivariable logistic regression models were used to evaluate risk factors for 30-day mortality among older adults. Among 464 adults aged ≥ 80 years, the mean age was 84.61 (SD 3.98) years, and 274 (59%) were men. Compared to younger patients, ≥ 80 years adults had lower Charlson score; were less likely to have nosocomial acquisition; and more likely to have urinary source. Thirty-day mortality was 30%, versus 27% among patients 65-79 years (n = 894) and 25% among patients < 65 years (n = 1036). Multivariate analysis for predictors of mortality among patients ≥ 80 years, demonstrated higher SOFA score (odds ratio [OR] 1.36, 95% confidence interval [CI] 1.23-1.51, p < 0.001), corticosteroid therapy (OR 3.15, 95% CI: 1.24-8.01, p = 0.016) and hospital acquired P. aeruginosa bacteremia (OR 2.30, 95% CI: 1.33-3.98, p = 0.003) as predictors. Appropriate empirical therapy within 24 h, type of definitive anti-pseudomonal drug, and type of regimen (monotherapy or combination) were not associated with 30-day mortality. In older adults with P. aeruginosa bacteremia, background conditions, place of acquisition, and disease severity are associated with mortality, rather than the antimicrobial regimen. In this regard, preventive efforts and early diagnosis before organ failure develops might be beneficial for improving outcomes.";2023;Aug;Infection;"Atamna A; Margalit I; Ayada G; Babich T; Naucler P; Valik JK; Giske CG; Benito N; Cardona R; Rivera A; Pulcini C; Fattah MA; Haquin J; Macgowan A; Chazan B; Yanovskay A; Ami RB; Landes M; Nesher L; Zaidman-Shimshovitz A; McCarthy K; Paterson DL; Tacconelli E; Buhl M; Mauer S; Rodríguez-Baño J; de Cueto M; Oliver A; de Gopegui ER; Cano A; Machuca I; Gozalo-Marguello M; Martinez-Martinez L; Gonzalez-Barbera EM; Alfaro IG; Salavert M; Beovic B; Saje A; Mueller-Premru M; Pagani L; Vitrat V; Kofteridis D; Zacharioudaki M; Maraki S; Weissman Y; Paul M; Dickstei Y; Yahav D";"Atamna A; Margalit I; Ayada G; Babich T; Naucler P; Valik JK; Giske CG; Benito N; Cardona R; Rivera A; Pulcini C; Fattah MA; Haquin J; Macgowan A; Chazan B; Yanovskay A; Ami RB; Landes M; Nesher L; Zaidman-Shimshovitz A; McCarthy K; Paterson DL; Tacconelli E; Buhl M; Mauer S; Rodríguez-Baño J; de Cueto M; Oliver A; de Gopegui ER; Cano A; Machuca I; Gozalo-Marguello M; Martinez-Martinez L; Gonzalez-Barbera EM; Alfaro IG; Salavert M; Beovic B; Saje A; Mueller-Premru M; Pagani L; Vitrat V; Kofteridis D; Zacharioudaki M; Maraki S; Weissman Y; Paul M; Dickstei Y; Yahav D. Outcomes of octogenarians and nonagenarians with Pseudomonas aeruginosa bacteremia: a multicenter retrospective study.. Infection. 2023;Aug.";2023-Aug
10.1007/s15010-024-02267-0;Epidemiological and clinical characterization of community, healthcare-associated and nosocomial colonization and infection due to carbapenemase-producing Klebsiella pneumoniae and Escherichia coli in Spain.;"Community-acquired (CA) and healthcare-associated (HCA) infections caused by carbapenemase-producing Enterobacterales (CPE) are not well characterized. The objective was to provide detailed information about the clinical and molecular epidemiological features of nosocomial, HCA and CA infections caused by carbapenemase-producing Klebsiella pneumoniae (CP-Kp) and Escherichia coli (CP-Ec). A prospective cohort study was performed in 59 Spanish hospitals from February to March 2019, including the first 10 consecutive patients from whom CP-Kp or CP-Ec were isolated. Patients were stratified according to acquisition type. A multivariate analysis was performed to identify the impact of acquisition type in 30-day mortality. Overall, 386 patients were included (363 [94%] with CP-Kp and 23 [6%] CP-Ec); in 296 patients (76.3%), the CPE was causing an infection. Acquisition was CA in 31 (8.0%) patients, HCA in 183 (47.4%) and nosocomial in 172 (48.3%). Among patients with a HCA acquisition, 100 (54.6%) had been previously admitted to hospital and 71 (38.8%) were nursing home residents. Urinary tract infections accounted for 19/23 (82.6%), 89/130 (68.5%) and 42/143 (29.4%) of CA, HCA and nosocomial infections, respectively. Overall, 68 infections (23%) were bacteremia (8.7%, 17.7% and 30.1% of CA, HCA and nosocomial, respectively). Mortality in infections was 28% (13%, 14.6% and 42.7% of CA, HCA and nosocomial, respectively). Nosocomial bloodstream infections were associated with increased odds for mortality (adjusted OR, 4.00; 95%CI 1.21-13.19). HCA and CA infections caused by CPE are frequent and clinically significant. This information may be useful for a better understanding of the epidemiology of CPE.";2024;Dec;Infection;"Salamanca-Rivera E; Palacios-Baena ZR; Cañada JE; Moure Z; Pérez-Vázquez M; Calvo-Montes J; Martínez-Martínez L; Cantón R; Ruiz Carrascoso G; Pitart C; Navarro F; Bou G; Mulet X; González-López JJ; Sivianes F; Delgado-Valverde M; Pascual Á; Oteo-Iglesias J; Rodríguez-Baño J";"Salamanca-Rivera E; Palacios-Baena ZR; Cañada JE; Moure Z; Pérez-Vázquez M; Calvo-Montes J; Martínez-Martínez L; Cantón R; Ruiz Carrascoso G; Pitart C; Navarro F; Bou G; Mulet X; González-López JJ; Sivianes F; Delgado-Valverde M; Pascual Á; Oteo-Iglesias J; Rodríguez-Baño J. Epidemiological and clinical characterization of community, healthcare-associated and nosocomial colonization and infection due to carbapenemase-producing Klebsiella pneumoniae and Escherichia coli in Spain.. Infection. 2024;Dec.";2024-Dec
10.1007/s15010-024-02313-x;Impact of multidrug resistance on the virulence and fitness of Pseudomonas aeruginosa: a microbiological and clinical perspective.;Pseudomonas aeruginosa is one of the most common nosocomial pathogens and part of the top emergent species associated with antimicrobial resistance that has become one of the greatest threat to public health in the twenty-first century. This bacterium is provided with a wide set of virulence factors that contribute to pathogenesis in acute and chronic infections. This review aims to summarize the impact of multidrug resistance on the virulence and fitness of P. aeruginosa. Although it is generally assumed that acquisition of resistant determinants is associated with a fitness cost, several studies support that resistance mutations may not be associated with a decrease in virulence and/or that certain compensatory mutations may allow multidrug resistance strains to recover their initial fitness. We discuss the interplay between resistance profiles and virulence from a microbiological perspective but also the clinical consequences in outcomes and the economic impact.;2024;Aug;Infection;"Sendra E; Fernández-Muñoz A; Zamorano L; Oliver A; Horcajada JP; Juan C; Gómez-Zorrilla S";"Sendra E; Fernández-Muñoz A; Zamorano L; Oliver A; Horcajada JP; Juan C; Gómez-Zorrilla S. Impact of multidrug resistance on the virulence and fitness of Pseudomonas aeruginosa: a microbiological and clinical perspective.. Infection. 2024;Aug.";2024-Aug
10.1007/s40121-022-00657-1;Duration of Treatment for Pseudomonas aeruginosa Bacteremia: a Retrospective Study.;"There is no consensus regarding optimal duration of antibiotic therapy for Pseudomonas aeruginosa bacteremia. We aimed to evaluate the impact of short antibiotic course. We present a retrospective multicenter study including patients with P. aeruginosa bacteremia during 2009-2015. We evaluated outcomes of patients treated with short (6-10 days) versus long (11-15 days) antibiotic courses. The primary outcome was a composite of 30-day mortality or bacteremia recurrence and/or persistence. Univariate and inverse probability treatment-weighted (IPTW) adjusted multivariate analysis for the primary outcome was performed. To avoid immortal time bias, the landmark method was used. We included 657 patients; 273 received a short antibiotic course and 384 a long course. There was no significant difference in baseline characteristics of patients. The composite primary outcome occurred in 61/384 patients in the long-treatment group (16%) versus 32/273 in the short-treatment group (12%) (p = 0.131). Mortality accounted for 41/384 (11%) versus 25/273 (9%) of cases, respectively. Length of hospital stay was significantly shorter in the short group [median 13 days, interquartile range (IQR) 9-21 days, versus median 15 days, IQR 11-26 days, p = 0.002]. Ten patients in the long group discontinued antibiotic therapy owing to adverse events, compared with none in the short group. On univariate and multivariate analyses, duration of therapy was not associated with the primary outcome. In this retrospective study, 6-10 days of antibiotic course for P. aeruginosa bacteremia were as effective as longer courses in terms of survival and recurrence. Shorter therapy was associated with reduced length of stay and less drug discontinuation.";2022;Aug;Infectious diseases and therapy;"Babich T; Naucler P; Valik JK; Giske CG; Benito N; Cardona R; Rivera A; Pulcini C; Fattah MA; Haquin J; Macgowan A; Grier S; Chazan B; Yanovskay A; Ami RB; Landes M; Nesher L; Zaidman-Shimshovitz A; McCarthy K; Paterson DL; Tacconelli E; Buhl M; Mauer S; Rodríguez-Baño J; de Cueto M; Oliver A; de Gopegui ER; Cano A; Machuca I; Gozalo-Marguello M; Martinez-Martinez L; Gonzalez-Barbera EM; Alfaro IG; Salavert M; Beovic B; Saje A; Mueller-Premru M; Pagani L; Vitrat V; Kofteridis D; Zacharioudaki M; Maraki S; Weissman Y; Paul M; Dickstein Y; Leibovici L; Yahav D";"Babich T; Naucler P; Valik JK; Giske CG; Benito N; Cardona R; Rivera A; Pulcini C; Fattah MA; Haquin J; Macgowan A; Grier S; Chazan B; Yanovskay A; Ami RB; Landes M; Nesher L; Zaidman-Shimshovitz A; McCarthy K; Paterson DL; Tacconelli E; Buhl M; Mauer S; Rodríguez-Baño J; de Cueto M; Oliver A; de Gopegui ER; Cano A; Machuca I; Gozalo-Marguello M; Martinez-Martinez L; Gonzalez-Barbera EM; Alfaro IG; Salavert M; Beovic B; Saje A; Mueller-Premru M; Pagani L; Vitrat V; Kofteridis D; Zacharioudaki M; Maraki S; Weissman Y; Paul M; Dickstein Y; Leibovici L; Yahav D. Duration of Treatment for Pseudomonas aeruginosa Bacteremia: a Retrospective Study.. Infectious diseases and therapy. 2022;Aug.";2022-Aug
10.1007/s40265-024-02102-8;The Challenge of Treating Infections Caused by Metallo-β-Lactamase-Producing Gram-Negative Bacteria: A Narrative Review.;"Gram-negative multidrug-resistant (MDR) bacteria, including Enterobacterales, Acinetobacter baumannii, and Pseudomonas aeruginosa, pose a significant challenge in clinical practice. Infections caused by metallo-β-lactamase (MBL)-producing Gram-negative organisms, in particular, require careful consideration due to their complexity and varied prevalence, given that the microbiological diagnosis of these pathogens is intricate and compounded by challenges in assessing the efficacy of anti-MBL antimicrobials. We discuss both established and new approaches in the treatment of MBL-producing Gram-negative infections, focusing on 3 strategies: colistin; the recently approved combination of aztreonam with avibactam (or with ceftazidime/avibactam); and cefiderocol. Despite its significant activity against various Gram-negative pathogens, the efficacy of colistin is limited by resistance mechanisms, while nephrotoxicity and acute renal injury call for careful dosing and monitoring in clinical practice. Aztreonam combined with avibactam (or with avibactam/ceftazidime if aztreonam plus avibactam is not available) exhibits potent activity against MBL-producing Gram-negative pathogens. Cefiderocol in monotherapy is effective against a wide range of multidrug-resistant organisms, including MBL producers, and favorable clinical outcomes have been observed in various clinical trials and case series. After examining scientific evidence in the management of infections caused by MBL-producing Gram-negative bacteria, we have developed a comprehensive clinical algorithm to guide therapeutic decision making. We recommend reserving colistin as a last-resort option for MDR Gram-negative infections. Cefiderocol and aztreonam/avibactam represent favorable options against MBL-producing pathogens. In the case of P. aeruginosa with MBL-producing enzymes and with difficult-to-treat resistance, cefiderocol is the preferred option. Further research is needed to optimize treatment strategies and minimize resistance.";2024;Dec;Drugs;"Hidalgo-Tenorio C; Bou G; Oliver A; Rodríguez-Aguirregabiria M; Salavert M; Martínez-Martínez L";"Hidalgo-Tenorio C; Bou G; Oliver A; Rodríguez-Aguirregabiria M; Salavert M; Martínez-Martínez L. The Challenge of Treating Infections Caused by Metallo-β-Lactamase-Producing Gram-Negative Bacteria: A Narrative Review.. Drugs. 2024;Dec.";2024-Dec
10.1016/j.bioflm.2024.100231;Collateral susceptibility-guided alternation of ceftolozane/tazobactam with imipenem prevents resistance development in XDR Pseudomonas aeruginosa biofilms.;New combinations of β-lactams and β-lactamase inhibitors, such as ceftolozane/tazobactam could be useful to combat biofilm-driven chronic infections by extensively resistant (XDR) Pseudomonas aeruginosa but resistance development by mutations in the Ω-loop of AmpC has been described. However, these mutations confer collateral susceptibility to carbapenems. Thus we aimed to evaluate the therapeutic efficacy and the prevention of resistance development of regimen alternating ceftolozane/tazobactam and imipenem. A carbapenem-resistant XDR P. aeruginosa clinical strain (ST175, 104-B7) and its isogenic imipenem-susceptible ceftolozane/tazobactam-resistant mutant derivative (AmpC T96I, 104-I9) were used. Experiments of single strains and mixed (104-B7 and 104-I9, 1:0.01 ratio) biofilms were performed. 48h biofilms (flow cell system) were treated for 6 days with either ceftolozane/tazobactam, 4/4 mg/L or the alternation of ceftolozane/tazobactam (2 days)-imipenem 4 mg/L (2 days) - ceftolozane/tazobactam (2 days). After treatment, biofilms were collected and plated on Mueller-Hinton agar± ceftolozane/tazobactam 4/4 mg/L. Structural dynamics were monitored using confocal laser scanning microscopy and images were processed with IMARIS software. At least, three independent triplicate experiments per condition were performed. Emerging resistant mutants were characterized through whole genome sequencing (Illumina). Ceftolozane/tazobactam monotherapy failed to reduce the biofilms of the 104-B7 XDR strain and led to the selection of resistant mutants that showed AmpC Ω-loop mutations (T96I, L244R or aa236Δ7). On the contrary, alternation with imipenem enhanced activity (3 Logs reduction at day 6) and prevented the emergence of ceftolozane/tazobactam-resistant mutants. Likewise, treatment with ceftolozane/tazobactam dramatically amplified the resistant strain 104-I9 in mixed biofilms (>90 % of the population), while the alternation regimen counterselected it. Collateral susceptibility-guided alternation of ceftolozane/tazobactam with imipenem effectively prevented the selection of resistant mutants and thus could be a potential therapeutic strategy for the treatment of P. aeruginosa XDR chronic infections.;2024;Dec;Biofilm;"Fernández-Billón M; Jordana-Lluch E; Llambías-Cabot AE; Gomis-Font MA; Fraile-Ribot P; Torrandell RI; Colman-Vega PJ; Murillo Ó; Macià MD; Oliver A";"Fernández-Billón M; Jordana-Lluch E; Llambías-Cabot AE; Gomis-Font MA; Fraile-Ribot P; Torrandell RI; Colman-Vega PJ; Murillo Ó; Macià MD; Oliver A. Collateral susceptibility-guided alternation of ceftolozane/tazobactam with imipenem prevents resistance development in XDR Pseudomonas aeruginosa biofilms.. Biofilm. 2024;Dec.";2024-Dec
10.1016/j.bios.2024.116341;OriPlex: Origami-enabled multiplexed detection of respiratory pathogens.;Origami biosensors leverage paper foldability to develop total analysis systems integrated in a single piece of paper. This capability can also be utilized to incorporate additional features that would be difficult to achieve with rigid substrates. In this article, we report a new design for 3D origami biosensors called OriPlex, which leverages the foldability of filter paper for the multiplexed detection of bacterial pathogens. OriPlex immunosensors detect pathogens by folding nanoparticle reservoirs containing different types of nanoprobes. This releases antibody-coated nanoparticles in a central channel where targets are captured through physical interactions. The OriPlex concept was demonstrated by detecting the respiratory pathogens Pseudomonas aeruginosa (PA) and Klebsiella pneumoniae (KP) with a limit of detection of 3.4·103 cfu mL-1 and 1.4·102 cfu mL-1, respectively, and with a turn-around time of 25 min. Remarkably, the OriPlex biosensors allowed the multiplexed detection of both pathogens spiked into real bronchial aspirate (BAS) samples at a concentration of 105 cfu mL-1 (clinical infection threshold), thus demonstrating their suitability for diagnosing lower tract respiratory infections. The results shown here pave the way for implementing OriPlex biosensors as a screening test for detecting superbugs requiring personalized antibiotics in suspected cases of nosocomial pneumonia.;2024;Aug;Biosensors & bioelectronics;"Vaquer A; Adrover-Jaume C; Clemente A; Viana J; Rodríguez R; Rojo-Molinero E; Oliver A; de la Rica R";"Vaquer A; Adrover-Jaume C; Clemente A; Viana J; Rodríguez R; Rojo-Molinero E; Oliver A; de la Rica R. OriPlex: Origami-enabled multiplexed detection of respiratory pathogens.. Biosensors & bioelectronics. 2024;Aug.";2024-Aug
10.1016/j.cmi.2022.02.025;Fluconazole-resistant Candida parapsilosis clonally related genotypes: first report proving the presence of endemic isolates harbouring the Y132F ERG11 gene substitution in Spain.;"We report here for the first time the presence of Candida parapsilosis isolates harbouring the Y132F ERG11 gene substitution in patients admitted to a Spanish hospital. We studied the available (n = 104) C parapsilosis isolates from patients admitted to the Son Espases reference hospital in the Balearic Islands from 1 April 2019 to 30 November 2020. Isolates were sourced from 70 patients: catheter (n = 41), blood cultures (n = 37), lower respiratory tract (n = 15), intra-abdominal (n = 8), and other samples (n = 3). Isolates were genotyped and tested for antifungal susceptibilities to amphotericin B, triazoles, anidulafungin, and micafungin using EUCAST E.Def 7.3.2. The ERG11 gene was sequenced in fluconazole-resistant isolates. Among the 104 isolates, fluconazole and voriconazole resistance was found in 87 (84%) and 30 (29%) isolates, respectively; all isolates were fully susceptible to echinocandins and amphotericin B. All fluconazole-resistant isolates harboured the Y132F substitution in the ERG11 gene and were grouped into 11 clonally related genotypes. A genotype accounted for 70% (61/87) of fluconazole-resistant isolates. Genotypes involving the fluconazole-resistant isolates were different from those found in the remaining fluconazole-susceptible genotypes. Fifty-six patients harboured fluconazole-resistant genotypes, and 35 of the 56 had candidaemia (48%), abdominal candidiasis (17%), or other forms of candidiasis (35%). Only 20% of the study patients infected by fluconazole-resistant genotypes had a history of azole use. Fluconazole resistance in C parapsilosis isolates from patients admitted to this reference hospital is not attributable to prior azole use, but rather to the presence of a group of fluconazole-resistant C parapsilosis genotypes that have become endemic.";2022;Aug;Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases;"Alcoceba E; Gómez A; Lara-Esbrí P; Oliver A; Beltrán AF; Ayestarán I; Muñoz P; Escribano P; Guinea J";"Alcoceba E; Gómez A; Lara-Esbrí P; Oliver A; Beltrán AF; Ayestarán I; Muñoz P; Escribano P; Guinea J. Fluconazole-resistant Candida parapsilosis clonally related genotypes: first report proving the presence of endemic isolates harbouring the Y132F ERG11 gene substitution in Spain.. Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases. 2022;Aug.";2022-Aug
